month,city_id,trip_count,repeat_passenger_count
2024-01-01,AP01,10,7
2024-01-01,AP01,2,352
2024-01-01,AP01,3,158
2024-01-01,AP01,4,53
2024-01-01,AP01,5,38
2024-01-01,AP01,6,14
2024-01-01,AP01,7,10
2024-01-01,AP01,8,11
2024-01-01,AP01,9,7
2024-01-01,CH01,10,14
2024-01-01,CH01,2,196
2024-01-01,CH01,3,182
2024-01-01,CH01,4,87
2024-01-01,CH01,5,119
2024-01-01,CH01,6,44
2024-01-01,CH01,7,33
2024-01-01,CH01,8,31
2024-01-01,CH01,9,14
2024-01-01,GJ01,10,27
2024-01-01,GJ01,2,91
2024-01-01,GJ01,3,161
2024-01-01,GJ01,4,181
2024-01-01,GJ01,5,366
2024-01-01,GJ01,6,172
2024-01-01,GJ01,7,107
2024-01-01,GJ01,8,55
2024-01-01,GJ01,9,24
2024-01-01,GJ02,10,8
2024-01-01,GJ02,2,41
2024-01-01,GJ02,3,97
2024-01-01,GJ02,4,94
2024-01-01,GJ02,5,109
2024-01-01,GJ02,6,98
2024-01-01,GJ02,7,64
2024-01-01,GJ02,8,21
2024-01-01,GJ02,9,12
2024-01-01,KA01,10,1
2024-01-01,KA01,2,75
2024-01-01,KA01,3,54
2024-01-01,KA01,4,22
2024-01-01,KA01,5,10
2024-01-01,KA01,6,5
2024-01-01,KA01,7,2
2024-01-01,KA01,8,3
2024-01-01,KA01,9,0
2024-01-01,KL01,10,6
2024-01-01,KL01,2,410
2024-01-01,KL01,3,188
2024-01-01,KL01,4,58
2024-01-01,KL01,5,62
2024-01-01,KL01,6,33
2024-01-01,KL01,7,17
2024-01-01,KL01,8,13
2024-01-01,KL01,9,8
2024-01-01,MP01,10,13
2024-01-01,MP01,2,399
2024-01-01,MP01,3,194
2024-01-01,MP01,4,120
2024-01-01,MP01,5,120
2024-01-01,MP01,6,79
2024-01-01,MP01,7,54
2024-01-01,MP01,8,34
2024-01-01,MP01,9,20
2024-01-01,RJ01,10,13
2024-01-01,RJ01,2,705
2024-01-01,RJ01,3,278
2024-01-01,RJ01,4,194
2024-01-01,RJ01,5,118
2024-01-01,RJ01,6,35
2024-01-01,RJ01,7,43
2024-01-01,RJ01,8,22
2024-01-01,RJ01,9,14
2024-01-01,TN01,10,1
2024-01-01,TN01,2,49
2024-01-01,TN01,3,69
2024-01-01,TN01,4,64
2024-01-01,TN01,5,97
2024-01-01,TN01,6,54
